Player,Team,GameAvgMin,GameAvgFGM,GameAvgFGA,GameAvg3PM,GameAvg3PA,GameAvgFTM,GameAvgFTA,GameAvgOREB,GameAvgDREB,GameAvgREB,GameAvgAST,GameAvgSTL,GameAvgBLK,GameAvgTO,GameAvgPF,GameAvgPlus&Minus,GameAvgPTS
Luc Richard Mbah a Moute,Philadelphia 76ers,28.08108108,3.621621622,8.72972973,0.702702703,2.621621622,1.351351351,2.135135135,1.27027027,3.432432432,4.702702703,1.216216216,1.378378378,0.324324324,1.594594595,1.648648649,-8.189189189,9.297297297
Cory Joseph,San Antonio Spurs,24.29545455,3.659090909,7.113636364,0.272727273,0.818181818,1.681818182,2.318181818,0.795454545,2.204545455,3,2.977272727,0.704545455,0.295454545,1.022727273,1.704545455,2.681818182,9.272727273
Henry Sims,Philadelphia 76ers,21.54545455,3.772727273,7.681818182,0.090909091,0.409090909,1.613636364,2.022727273,1.772727273,3.840909091,5.613636364,1.113636364,0.568181818,0.318181818,1.409090909,1.818181818,-5.068181818,9.25
Wesley Johnson,Los Angeles Lakers,29.19047619,3.404761905,8.238095238,1.285714286,3.547619048,1.142857143,1.404761905,0.666666667,2.976190476,3.642857143,1.785714286,0.785714286,0.714285714,0.761904762,2.047619048,-5.69047619,9.238095238
David Lee,Golden State Warriors,19.27777778,3.833333333,7.777777778,0,0.055555556,1.555555556,2.222222222,1.666666667,4.666666667,6.333333333,1.833333333,0.777777778,0.777777778,1.333333333,1.666666667,4.777777778,9.222222222
Evan Turner,Boston Celtics,25.28571429,3.738095238,8.30952381,0.5,1.404761905,1.238095238,1.666666667,0.547619048,3.952380952,4.5,4.428571429,0.904761905,0.30952381,2.380952381,2.19047619,-2.666666667,9.214285714
Jose Calderon,New York Knicks,30.4516129,3.451612903,8.64516129,1.516129032,3.709677419,0.741935484,0.741935484,0.580645161,2.709677419,3.290322581,4.419354839,0.64516129,0,1.709677419,1.774193548,-8.806451613,9.161290323
Nicolas Batum,Portland Trail Blazers,33.36842105,3.421052632,8.842105263,1.236842105,4.473684211,1.052631579,1.315789474,0.684210526,4.552631579,5.236842105,4.605263158,1.131578947,0.684210526,1.763157895,1.5,3.552631579,9.131578947
Luis Scola,Indiana Pacers,20.58695652,3.652173913,7.97826087,0.065217391,0.260869565,1.739130435,2.630434783,1.652173913,4.695652174,6.347826087,1.47826087,0.608695652,0.239130435,1.326086957,2.434782609,0.543478261,9.108695652
K.J. McDaniels,Philadelphia 76ers,26.11627907,3.209302326,8.23255814,0.906976744,3.023255814,1.744186047,2.372093023,1.279069767,2.488372093,3.76744186,1.441860465,0.88372093,1.395348837,1.906976744,2.488372093,-5.279069767,9.069767442
Iman Shumpert,Cleveland Cavaliers,24.88461538,3.538461538,8.461538462,1,2.692307692,0.961538462,1.423076923,0.846153846,2.384615385,3.230769231,3.076923077,1.192307692,0.115384615,1.692307692,2.615384615,-2.923076923,9.038461538
D.J. Augustin,Detroit Pistons,21.8,3,7.555555556,0.777777778,2.555555556,2.244444444,2.688888889,0.244444444,1.511111111,1.755555556,4.244444444,0.555555556,0.044444444,1.822222222,1.111111111,-2.444444444,9.022222222
Timofey Mozgov,Cleveland Cavaliers,26.02272727,3.454545455,6.704545455,0.045454545,0.136363636,1.840909091,2.522727273,2.772727273,5.25,8.022727273,0.431818182,0.409090909,1.181818182,1.340909091,3.181818182,-0.272727273,8.795454545
Boris Diaw,San Antonio Spurs,25.66666667,3.422222222,7.577777778,0.688888889,2.2,1.022222222,1.4,0.933333333,3.466666667,4.4,3.2,0.488888889,0.355555556,1.644444444,1.955555556,3,8.555555556
J.J. Hickson,Denver Nuggets,20.41666667,3.305555556,6.638888889,0,0.027777778,1.888888889,3.055555556,2,4.694444444,6.694444444,0.972222222,0.444444444,0.611111111,1.5,2.222222222,-2.083333333,8.5
Devin Harris,Dallas Mavericks,22.39534884,2.813953488,6.790697674,1.279069767,3.581395349,1.581395349,2,0.11627907,1.651162791,1.76744186,3.325581395,1.023255814,0.209302326,0.976744186,1.76744186,1.348837209,8.488372093
Mirza Teletovic,Brooklyn Nets,22.35,3.05,7.975,1.55,4.825,0.825,1.15,0.675,4.175,4.85,1.15,0.35,0.4,1.325,1.85,-0.25,8.475
Sebastian Telfair,Oklahoma City Thunder,20.4375,2.875,7.8125,1.125,3.75,1.5,2.125,0.125,1.75,1.875,2.8125,0.625,0,1.125,1.8125,-4,8.375
Kris Humphries,Washington Wizards,21.47727273,3.5,7.386363636,0,0.090909091,1.295454545,1.75,1.795454545,4.681818182,6.477272727,0.886363636,0.545454545,0.477272727,0.795454545,2.159090909,-1.022727273,8.295454545
Carl Landry,Sacramento Kings,18.76315789,3.210526316,6,0,0,1.789473684,2.105263158,1.736842105,2.684210526,4.421052632,0.473684211,0.210526316,0.289473684,0.973684211,2.263157895,-2.631578947,8.210526316
Patrick Patterson,Toronto Raptors,26.18181818,2.977272727,6.386363636,1.409090909,3.409090909,0.840909091,1.068181818,1.704545455,3.795454545,5.5,1.863636364,0.568181818,0.454545455,0.613636364,1.818181818,4.795454545,8.204545455
Nerlens Noel,Philadelphia 76ers,30.1,3.475,7.975,0,0,1.225,2.325,2.225,5.1,7.325,1.525,1.55,1.55,1.975,2.65,-8.5,8.175
Dennis Schroder,Atlanta Hawks,17.62790698,3.139534884,7.11627907,0.348837209,1.395348837,1.511627907,1.953488372,0.255813953,1.720930233,1.976744186,3.348837209,0.813953488,0.023255814,1.720930233,1.488372093,0.162790698,8.139534884
Channing Frye,Orlando Magic,30,2.826086957,7.152173913,2.043478261,5.130434783,0.391304348,0.456521739,0.326086957,4.391304348,4.717391304,1.5,0.782608696,0.586956522,1.173913043,2.934782609,-3.717391304,8.086956522
Tony Allen,Memphis Grizzlies,25.27027027,3.27027027,6.864864865,0.135135135,0.486486486,1.351351351,1.864864865,1.432432432,2.297297297,3.72972973,1.486486486,2,0.540540541,1.324324324,3.081081081,4.054054054,8.027027027
Jameer Nelson,Denver Nuggets,24.42857143,2.971428571,7.857142857,1.6,4.571428571,0.457142857,0.628571429,0.514285714,2.057142857,2.571428571,4.6,0.714285714,0.057142857,1.857142857,2.314285714,0.742857143,8
Zaza Pachulia,Milwaukee Bucks,23.26829268,3.146341463,7,0,0.048780488,1.682926829,2.170731707,2.463414634,4.146341463,6.609756098,2.365853659,0.902439024,0.341463415,1.87804878,2.390243902,3.390243902,7.975609756
Zach LaVine,Minnesota Timberwolves,22.85,3.075,7.55,0.4,1.55,1.4,1.725,0.175,1.925,2.1,3.45,0.8,0.15,2.25,2.05,-8.15,7.95
Ed Davis,Los Angeles Lakers,24.24444444,3.266666667,5.577777778,0,0,1.288888889,2.511111111,2.866666667,4.244444444,7.111111111,0.977777778,0.555555556,1.177777778,0.688888889,2.555555556,-3.777777778,7.822222222
Marcus Thornton,Boston Celtics,15.56666667,2.933333333,7.166666667,1,2.566666667,0.933333333,1.166666667,0.366666667,1.066666667,1.433333333,0.9,0.366666667,0.166666667,0.566666667,0.7,-0.1,7.8
Jeremy Lamb,Oklahoma City Thunder,17.12903226,2.677419355,6.451612903,1,2.838709677,1.419354839,1.580645161,0.225806452,2.612903226,2.838709677,1.290322581,0.64516129,0.161290323,0.709677419,1.516129032,-0.709677419,7.774193548
Jason Terry,Houston Rockets,22.14285714,2.714285714,6.357142857,1.785714286,4.523809524,0.547619048,0.714285714,0.166666667,1.261904762,1.428571429,2.047619048,0.928571429,0.19047619,1.19047619,1.428571429,1.357142857,7.761904762
Nikola Mirotic,Chicago Bulls,17.7173913,2.282608696,5.608695652,1.02173913,2.869565217,2.152173913,2.760869565,0.608695652,3.956521739,4.565217391,1.086956522,0.565217391,0.652173913,0.739130435,2.173913043,1.413043478,7.739130435
